Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FrameHandlingSuite001,Chrome 113.0.0.0,,,2023-05-04 01:02:12,2023-05-04 01:04:08,1m - 56.253s,FAILED
,,,,,,,
Test Cases/W3School/FramHandling,Chrome 113.0.0.0,,,2023-05-04 01:02:13,2023-05-04 01:04:08,1m - 55.658s,FAILED
"openBrowser(""https://www.w3schools.com/js/js_popup.asp"")",Chrome 113.0.0.0,,,2023-05-04 01:02:13,2023-05-04 01:04:08,1m - 54.802s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-04 01:04:08,2023-05-04 01:04:08,0.146s,FAILED
